WWV_tone,WWV_power,WWV_freq_dev,WWVH_tone,WWVH_power,WWVH_freq_dev,Noise_power
,,,500.0,1.071243218575546e-06,-20.25,1.384525e-06
,,,500.0,9.307333925789862e-07,-20.274999999999977,3.5219443e-06
,,,500.0,4.0960833302960964e-07,-20.174999999999955,1.2797872e-06
,,,500.0,1.0593081469778554e-06,-20.125,2.439137e-06
500.0,1.2490851304391981e-06,-19.899999999999977,600.0,2.576595079517574e-07,-100.0,4.1947637e-06
600.0,0.02244444191455841,0.024999999999977263,500.0,0.004913358483463526,100.0,1.0221027e-06
500.0,0.027957839891314507,0.07500000000004547,600.0,0.027957839891314507,-99.92499999999995,4.1052176e-06
600.0,0.03318819776177406,0.10000000000002274,500.0,0.0005492144846357405,0.10000000000002274,1.0213041e-06
500.0,0.009409514255821705,0.125,600.0,0.009409514255821705,-99.875,2.8281643e-06
600.0,0.06424708664417267,0.14999999999997726,500.0,0.001048235921189189,0.1500000000000341,5.0280782e-06
500.0,0.03168860822916031,0.125,600.0,0.03168860822916031,-99.875,3.2699288e-06
,,,,,,1.8632393e-06
1000.0,3.2103464491228806e-06,-24.949999999999932,1200.0,9.514849352854071e-07,-97.95000000000005,4.1246026e-06
600.0,0.07025881856679916,0.0,440.0,0.0010057854233309627,60.0,5.016057e-06
440.0,0.028084225952625275,-0.024999999999977263,600.0,0.00023668525682296604,-60.02499999999998,2.1163473e-06
600.0,5.546722547933314e-08,-36.89999999999998,500.0,6.12056737736566e-07,-20.125,1.5250259e-06
500.0,3.677923450595699e-05,-92.47499999999997,600.0,2.5669956812635064e-05,-59.02499999999998,4.4306703e-06
600.0,0.034182481467723846,-0.049999999999954525,500.0,0.034182481467723846,99.95000000000005,5.898785e-06
500.0,0.04014807194471359,-0.07499999999998863,600.0,0.0014102160930633545,-100.0,6.038865e-06
600.0,0.06421210616827011,-0.07499999999993179,500.0,0.06421210616827011,99.92500000000007,3.0405984e-06
,,,,,,3.7979103e-06
,,,,,,2.1709834e-06
,,,,,,3.164991e-06
600.0,0.0434928759932518,0.05000000000006821,500.0,0.0005507267778739333,0.05000000000001137,4.2471297e-06
500.0,0.05097658559679985,0.10000000000002274,600.0,0.05097658559679985,-99.89999999999998,7.119164e-06
600.0,0.03737146779894829,0.125,500.0,0.0005797756602987647,0.125,1.0078343e-05
,,,,,,2.0407037e-06
,,,,,,4.4080607e-06
500.0,0.02288595400750637,0.22500000000002274,,,,9.58443e-07
600.0,0.024870257824659348,0.22500000000002274,,,,2.2519052e-06
,,,,,,2.5120326e-06
600.0,0.01895155943930149,0.1750000000000682,,,,1.7344156e-06
500.0,0.03985913470387459,0.1500000000000341,600.0,0.03985913470387459,-99.84999999999997,5.0232757e-06
600.0,0.020410887897014618,0.10000000000002274,500.0,0.0003364132426213473,0.10000000000002274,4.7659787e-06
500.0,0.018357524648308754,0.05000000000001137,600.0,0.018357524648308754,-99.94999999999999,4.535793e-06
600.0,0.015148612670600414,-0.024999999999977263,500.0,0.015148612670600414,99.97500000000002,3.6017723e-06
500.0,0.032241933047771454,-0.049999999999954525,600.0,0.00032451871084049344,-0.049999999999954525,1.320213e-06
600.0,0.0318324938416481,-0.07499999999993179,500.0,0.0318324938416481,99.92500000000007,4.578885e-06
500.0,0.011394135653972626,-0.0999999999999659,600.0,0.00034948860411532223,-100.0,3.009565e-06
600.0,0.023551667109131813,-0.125,500.0,0.023551667109131813,99.875,2.7410724e-06
500.0,0.058773405849933624,-0.14999999999997726,600.0,0.0005441142129711807,-0.14999999999997726,3.418475e-06
,,,,,,7.734598e-06
,,,,,,1.3720969e-06
600.0,0.003240019315853715,-0.17499999999995453,500.0,0.003240019315853715,99.82500000000005,7.8567626e-07
500.0,0.017136774957180023,-0.19999999999998863,600.0,0.00015849665214773268,-0.1999999999999318,1.6706537e-06
600.0,0.006974872667342424,-0.1999999999999318,500.0,0.006974872667342424,99.80000000000007,2.4362548e-06
500.0,0.06626208126544952,-0.14999999999997726,600.0,0.0006468456704169512,-0.14999999999997726,1.1307771e-05
600.0,0.04021173715591431,-0.14999999999997726,500.0,0.04021173715591431,99.85000000000002,1.5174804e-06
500.0,0.09595507383346558,-0.125,600.0,0.000942582031711936,-0.125,8.758543e-06
600.0,0.06508979946374893,-0.10000000000002274,500.0,0.06508979946374893,99.89999999999998,1.3705272e-06
500.0,0.010492278262972832,-0.0999999999999659,600.0,0.00011304256622679532,-0.10000000000002274,9.645103e-07
600.0,0.0031590803992003202,-0.10000000000002274,500.0,0.0031590803992003202,99.89999999999998,1.1690399e-06
500.0,0.06896131485700607,-0.0999999999999659,600.0,0.0006506427889689803,-0.10000000000002274,4.702789e-06
600.0,0.025393689051270485,-0.10000000000002274,500.0,0.025393689051270485,99.89999999999998,4.598475e-06
500.0,0.019904082641005516,-0.07499999999998863,600.0,0.00020585174206644297,-0.07499999999993179,1.1797315e-06
,,,500.0,9.549657079332974e-06,-0.8249999999999886,3.1497493e-06
,,,500.0,5.34496211912483e-06,98.85000000000002,2.002837e-06
,,,500.0,2.028726157732308e-06,-20.149999999999977,2.629758e-06
,,,600.0,8.00080488261301e-06,-0.6999999999999318,1.467897e-06
,,,500.0,1.0151795777346706e-06,-20.25,2.479197e-06
,,,500.0,6.108534194027015e-07,-20.224999999999966,2.4423643e-06
,,,500.0,2.4106393539113924e-06,-20.174999999999955,1.9195297e-06
,,,500.0,1.9489154965413036e-06,-20.224999999999966,2.6840369e-06
,,,500.0,5.494667902894435e-07,-20.32499999999999,8.786137e-07
